,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,440.70001220703125,485.15,341.67,572.51,37.2,11.846774521694387
1,EVE.SW,2.0,hold,3.0,0.08950000256299973,0.29,0.28,0.29,-0.02,-4.475000128149986
2,MBTN.SW,8.0,buy,2.4,0.6579999923706055,0.58,0.21,0.92,0.01,65.79999923706055
3,ASWN.SW,1.0,buy,2.0,2.200000047683716,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,3.130000114440918,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.8,7.440000057220459,8.8,4.0,16.0,0.87,8.551724203701678
6,F3C.DE,5.0,buy,1.6,26.049999237060547,32.2,28.0,35.0,0.32,81.40624761581421
7,VOW3.DE,24.0,buy,2.2,131.94000244140625,185.8,115.0,320.0,29.17,4.5231402962429295
8,NOVO-B.CO,27.0,buy,2.4,941.5,960.7,540.0,1200.0,35.23,26.72438262844167
9,ALJXR.PA,,none,,0.0364999994635582,,,,,
10,LIN,13.0,buy,2.1,323.6000061035156,337.07,284.12,368.34,11.36,28.485916030239053
11,NEL.OL,22.0,hold,3.1,17.69499969482422,14.03,7.0,25.0,-0.42,-42.13095165434338
12,BLDP,23.0,hold,2.9,6.599999904632568,8.24,4.0,19.0,-0.5,-13.199999809265137
13,UUUU,3.0,buy,2.0,7.400000095367432,10.33,8.5,13.0,0.06,123.33333492279053
14,SHOP,40.0,hold,2.6,52.93000030517578,43.06,28.0,81.43,0.05,1058.6000061035156
15,ONON,12.0,buy,2.2,22.889999389648438,25.85,16.17,30.36,0.45,50.86666531032986
16,BE,20.0,buy,2.2,24.690000534057617,28.6,20.0,40.0,0.11,224.4545503096147
17,CLNE,10.0,buy,2.0,5.840000152587891,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,26.959999084472656,44.31,12.74,70.0,-0.03,-898.6666361490886
19,SQ,40.0,buy,2.1,84.70999908447266,90.19,51.0,150.0,1.72,49.24999946771666
20,EQNR,2.0,buy,2.0,29.110000610351562,40.65,34.3,47.0,6.14,4.741042444682665
21,FCEL,8.0,hold,3.3,4.090000152587891,3.22,2.0,4.0,-0.23,-17.782609359077785
22,QS,9.0,hold,3.1,9.229999542236328,12.22,3.0,25.0,-0.83,-11.120481376188348
23,PCELL.ST,3.0,hold,3.0,144.0,140.0,135.0,150.0,-1.69,-85.20710059171599
24,PLUG,29.0,buy,2.1,17.3799991607666,27.34,13.0,78.0,-0.66,-26.333332061767578
25,SNPS,14.0,buy,1.7,361.44000244140625,416.99,356.9,467.0,11.83,30.552831989975168
26,CWR.L,13.0,buy,1.9,501.6000061035156,915.77,365.0,1560.0,-12.53,-40.03192387099087
