,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,438.6000061035156,471.85,334.25,569.57,38.9,11.2750644242549
1,EVE.SW,1.0,hold,3.0,0.08269999921321869,0.28,0.28,0.28,-0.02,-4.1349999606609344
2,MBTN.SW,9.0,buy,2.4,0.671999990940094,0.66,0.31,0.96,0.01,67.1999990940094
3,ASWN.SW,1.0,buy,2.0,2.2200000286102295,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,2.890000104904175,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.7,6.829999923706055,8.8,4.0,16.0,0.88,7.761363549665972
6,F3C.DE,5.0,buy,1.6,21.850000381469727,33.2,28.0,35.0,0.32,68.2812511920929
7,VOW3.DE,24.0,buy,2.2,130.97999572753906,186.5,115.0,320.0,29.11,4.499484566387464
8,NOVO-B.CO,27.0,buy,2.4,969.5,975.04,625.0,1200.0,35.52,27.29448198198198
9,ALJXR.PA,,none,,0.04089999943971634,,,,,
10,LIN,14.0,buy,1.9,323.5,342.21,279.59,374.45,12.83,25.214341387373345
11,NEL.OL,22.0,hold,3.0,17.639999389648438,15.15,7.0,25.0,-0.42,-41.999998546781995
12,BLDP,23.0,hold,2.9,6.170000076293945,8.24,4.0,19.0,-0.5,-12.34000015258789
13,UUUU,3.0,buy,2.0,7.190000057220459,10.33,8.5,13.0,0.01,719.0000057220459
14,SHOP,40.0,hold,2.6,44.90999984741211,44.36,28.0,81.43,0.22,204.1363629427823
15,ONON,12.0,buy,2.2,22.15999984741211,26.28,16.48,30.97,0.45,49.244444105360245
16,BE,20.0,buy,2.2,23.389999389648438,30.15,21.0,40.0,0.49,47.73469263193559
17,CLNE,10.0,buy,2.0,5.840000152587891,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,24.549999237060547,43.98,12.74,70.0,-0.03,-818.3333079020183
19,SQ,40.0,buy,2.1,78.62999725341797,90.19,51.0,150.0,1.72,45.71511468221975
20,NVDA,39.0,buy,2.2,220.02,202.03,110.0,320.0,4.29,51.28671328671329
21,MASI,7.0,buy,1.7,164.89999389648438,166.14,135.0,180.0,4.39,37.562640978698035
22,PAC,7.0,hold,2.9,193.60000610351562,174.76,136.0,215.0,7.76,24.948454394782942
23,ZBRA,12.0,buy,2.2,333.44000244140625,333.83,260.0,445.0,17.71,18.82778105259211
24,TTC,3.0,buy,2.5,113.91000366210938,127.67,116.0,137.0,5.61,20.304813487007017
25,TSLA,36.0,buy,2.3,202.0399932861328,189.07,24.33,300.0,5.5,36.73454423384233
26,KNSL,5.0,hold,2.7,292.010009765625,304.8,230.0,350.0,8.87,32.921083400859644
27,ABNB,32.0,hold,2.6,139.4199981689453,137.53,98.0,165.0,3.95,35.29620206808742
28,TTD,23.0,buy,2.1,63.06999969482422,64.93,27.0,90.0,1.38,45.70289832958277
29,NOW,35.0,buy,1.8,453.69000244140625,519.57,370.0,640.0,11.32,40.078622123799136
