,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,MMM.SW,,none,,106.0,,,,,
1,ABBN.SW,21.0,hold,2.6,31.19,29.59,24.52,39.22,1.57,19.866242038216562
2,ABT.SW,,none,,103.0,,,,,
3,ACHI.SW,,strong_buy,1.0,0.0454,,,,,
4,ADXN.SW,,hold,3.5,0.295,,,,-0.17,-1.7352941176470587
5,ADEN.SW,12.0,hold,2.6,34.26,38.78,26.96,69.88,3.35,10.22686567164179
6,ADVN.SW,1.0,none,,137.0,135.0,135.0,135.0,6.68,20.508982035928145
7,AEVS.SW,1.0,none,,17.95,19.4,19.4,19.4,-0.06,-299.1666666666667
8,AIRE.SW,,none,,0.64,,,,,
9,ALC.SW,14.0,buy,2.2,67.92,76.71,60.26,88.08,2.4,28.3
10,ALLN.SW,2.0,hold,3.0,153.2,166.5,153.0,180.0,8.31,18.435619735258722
11,ALPN.SW,,none,,12.0,,,,,
12,ALSN.SW,3.0,strong_buy,1.3,179.4,293.67,270.35,320.36,13.55,13.239852398523984
13,AFP.SW,3.0,buy,2.5,17.28,22.54,19.57,25.01,0.79,21.873417721518987
14,AMS.SW,13.0,hold,3.1,7.05,9.0,6.52,16.61,1.01,6.98019801980198
15,AAM.SW,,none,,37.0,,,,,
16,APGN.SW,,buy,2.5,175.0,,,,8.69,20.138089758342925
17,ARBN.SW,4.0,hold,2.6,13.04,14.88,13.0,16.5,0.7,18.62857142857143
18,ARON.SW,,none,,0.302,,,,,
19,ARYN.SW,4.0,hold,2.7,1.264,1.17,0.88,1.5,0.08,15.8
20,ASCN.SW,4.0,buy,2.4,8.71,12.09,8.1,16.5,0.51,17.07843137254902
21,ASWN.SW,1.0,buy,2.0,2.15,7.4,7.4,7.4,,
22,AUTN.SW,5.0,hold,3.0,125.2,119.4,114.0,125.0,7.68,16.302083333333336
23,BANB.SW,4.0,buy,2.4,89.75,92.5,86.0,100.0,1.71,52.485380116959064
24,BALN.SW,6.0,hold,2.7,152.5,157.5,147.0,174.0,13.34,11.431784107946028
25,LINN.SW,,,,,,,,,
26,BCGE.SW,,none,,190.0,,,,,
27,BCJ.SW,,none,,54.0,,,,,
28,BCVN.SW,,hold,3.0,82.7,,,,4.47,18.501118568232663
29,BARN.SW,11.0,buy,2.0,1954.0,2283.73,2100.0,2500.0,71.81,27.210694889291183
30,BLKB.SW,,none,,908.0,,,,,
31,BSLN.SW,5.0,buy,1.7,54.9,72.0,52.0,91.0,5.93,9.258010118043845
32,BSKP.SW,,none,,67.4,,,,,
33,BAX.SW,,none,,84.0,,,,,
34,BION.SW,,none,,55.6,,,,1.57,35.4140127388535
35,BEAN.SW,8.0,hold,2.9,490.5,433.25,331.0,540.0,11.15,43.99103139013453
36,BELL.SW,1.0,hold,3.0,244.5,280.0,280.0,280.0,22.04,11.093466424682395
37,BBN.SW,,none,,40.3,,,,2.41,16.72199170124481
38,TIBN.SW,1.0,none,,46.1,42.0,42.0,42.0,,
39,BEKN.SW,,none,,232.0,,,,14.28,16.246498599439775
40,BKW.SW,4.0,buy,2.0,135.4,148.5,140.0,158.0,7.59,17.839262187088273
41,BLS.SW,,,,,,,,,
42,BOBNN.SW,1.0,hold,3.0,57.3,78.0,78.0,78.0,5.6,10.232142857142858
43,BOSN.SW,6.0,hold,2.7,249.0,239.83,164.0,304.0,13.38,18.609865470852018
44,BUCN.SW,8.0,buy,2.3,417.8,441.0,385.0,545.0,28.99,14.411866160745086
45,BCHN.SW,5.0,buy,2.5,593.0,539.8,460.0,568.0,23.76,24.957912457912457
46,BRKN.SW,1.0,buy,2.5,84.4,84.0,84.0,84.0,4.82,17.510373443983404
47,BVZN.SW,,none,,760.0,,,,,
48,BYS.SW,5.0,none,,750.0,1401.4,1300.0,1550.0,,
49,CALN.SW,,buy,2.0,45.8,,,,2.56,17.890625
50,GAV.SW,,none,,307.0,,,,,
51,CASN.SW,,,,,,,,,
52,CPEN.SW,,none,,7.7,,,,,
53,CAT.SW,,none,,230.0,,,,,
54,CMBN.SW,3.0,hold,2.7,80.4,78.67,70.0,92.0,5.69,14.130052724077329
55,LISN.SW,9.0,hold,3.2,105200.0,104500.0,83000.0,127000.0,2579.69,40.780093732192626
56,LISP.SW,6.0,hold,3.1,10520.0,9983.33,8700.0,11600.0,208.88,50.36384527001149
57,CIE.SW,,none,,2.76,,,,,
58,CICN.SW,3.0,buy,2.5,45.0,61.67,55.0,70.0,2.84,15.845070422535212
59,CLN.SW,17.0,hold,2.6,15.84,19.55,16.0,25.0,1.15,13.773913043478261
60,CLTN.SW,2.0,hold,3.0,74.6,83.5,71.0,96.0,5.5,13.563636363636363
61,COTN.SW,4.0,buy,2.0,205.5,274.75,250.0,300.0,7.75,26.516129032258064
62,GOB.SW,,none,,68.0,,,,,
63,CFR.SW,23.0,buy,2.2,144.45,126.56,92.28,157.48,,
64,CFT.SW,1.0,buy,2.0,109.0,153.0,153.0,153.0,,
65,COPN.SW,5.0,buy,1.7,64.4,85.9,70.08,100.13,1.28,50.3125
66,CPHN.SW,3.0,hold,3.0,88.2,93.23,82.0,100.0,7.83,11.264367816091955
67,CLXN.SW,,none,,63.5,,,,4.11,15.450121654501215
68,CSGN.SW,15.0,hold,3.2,2.657,4.73,3.2,6.6,0.38,6.992105263157895
69,DCN.SW,,none,,670.0,,,,39.7,16.876574307304786
70,DAE.SW,6.0,buy,2.4,190.0,228.0,190.0,270.0,8.99,21.134593993325918
71,DKSH.SW,6.0,buy,2.3,79.95,81.83,71.0,90.0,3.68,21.72554347826087
72,DOKA.SW,9.0,hold,2.9,394.0,462.78,306.0,600.0,29.36,13.419618528610355
73,DESN.SW,,none,,269.0,,,,6.3,42.6984126984127
74,DUFN.SW,13.0,hold,2.6,40.32,47.25,40.0,58.0,2.61,15.448275862068966
75,ESUN.SW,1.0,buy,2.0,118.5,168.0,168.0,168.0,44.7,2.6510067114093956
76,EEII.SW,,none,,1.5,,,,,
77,EFGN.SW,3.0,buy,2.5,8.72,9.42,9.0,10.25,0.69,12.637681159420291
78,LLY.SW,,none,,274.0,,,,,
79,ELMN.SW,,none,,1000.0,,,,,
80,EMMN.SW,5.0,buy,2.5,892.0,913.6,820.0,1000.0,40.3,22.133995037220846
81,EMSN.SW,6.0,hold,2.7,718.0,715.83,575.0,900.0,23.36,30.736301369863014
82,EDHN.SW,1.0,none,,44.1,60.0,60.0,60.0,2.71,16.273062730627306
83,RUS.SW,,none,,6.0,,,,,
84,EVE.SW,1.0,hold,3.0,0.0857,0.28,0.28,0.28,-0.02,-4.285
85,FTON.SW,3.0,buy,1.7,23.95,30.0,30.0,30.0,1.86,12.876344086021504
86,FHZN.SW,16.0,hold,2.6,165.1,180.94,160.0,210.0,,
87,FORN.SW,7.0,hold,2.7,1218.0,1330.0,1100.0,1710.0,82.88,14.695945945945947
88,FFI.SW,,,,,,,,,
89,FREN.SW,,none,,16.05,,,,0.67,23.955223880597014
90,GALE.SW,5.0,hold,3.3,75.8,70.0,60.0,75.0,3.45,21.97101449275362
91,GAM.SW,1.0,hold,3.0,0.659,1.1,1.1,1.1,-0.15,-4.3933333333333335
92,GEBN.SW,18.0,hold,3.3,510.8,454.22,360.0,630.0,20.17,25.324739712444224
93,GE.SW,,none,,73.0,,,,,
94,GIVN.SW,20.0,hold,2.7,2851.0,3299.25,2400.0,4200.0,109.83,25.958299189656742
95,GLKBN.SW,,hold,3.0,25.5,,,,1.82,14.010989010989011
96,GT.SW,,none,,9.8,,,,,
97,GRKP.SW,,none,,1765.0,,,,84.4,20.912322274881515
98,GMI.SW,,none,,280.0,,,,,
99,GUR.SW,,,,,,,,,
100,HBMN.SW,2.0,strong_buy,1.5,218.0,301.0,270.0,332.0,10.55,20.663507109004737
101,HELN.SW,4.0,hold,3.2,118.2,102.95,92.8,121.0,10.05,11.761194029850746
102,HIAG.SW,3.0,hold,2.7,80.0,96.0,78.0,114.0,5.31,15.065913370998118
103,HLEE.SW,,none,,16.6,,,,,
104,HOCN.SW,1.0,none,,21.4,18.0,18.0,18.0,-3.53,-6.062322946175637
105,HOLN.SW,20.0,buy,2.3,57.38,51.51,38.0,64.0,4.19,13.694510739856801
106,HUBN.SW,4.0,buy,2.4,85.6,104.75,100.0,115.0,4.27,20.046838407494146
107,HBLN.SW,,none,,4380.0,,,,,
108,IDIA.SW,12.0,hold,3.0,12.05,16.14,9.0,36.0,-2.48,-4.858870967741936
109,IGPH.SW,,strong_buy,1.0,0.0128,,,,,
110,IMPN.SW,3.0,hold,3.0,42.7,41.0,40.0,43.0,3.85,11.090909090909092
111,INA.SW,2.0,hold,3.0,19.4,20.8,19.6,22.0,3.45,5.623188405797101
112,IFCN.SW,7.0,hold,2.7,956.0,877.31,740.28,1168.21,32.82,29.128580134064595
113,INRN.SW,9.0,hold,2.6,2980.0,2883.67,2100.0,3565.0,98.56,30.23538961038961
114,ISN.SW,1.0,none,,599.0,660.0,660.0,660.0,25.77,23.24408226620101
115,IREN.SW,1.0,hold,3.0,97.8,107.0,107.0,107.0,3.19,30.658307210031346
116,VBSN.SW,,none,,115.5,,,,,
117,BAER.SW,14.0,buy,2.1,61.06,69.93,62.0,75.0,6.2,9.848387096774193
118,JFN.SW,1.0,buy,2.0,125.6,157.0,157.0,157.0,9.21,13.637350705754614
119,KARN.SW,5.0,buy,2.0,171.6,203.13,184.65,220.23,6.81,25.198237885462557
120,KLIN.SW,1.0,buy,2.0,16.15,25.01,25.01,25.01,,
121,KOMN.SW,7.0,hold,2.6,287.0,299.71,190.0,350.0,14.32,20.04189944134078
122,KUD.SW,2.0,underperform,3.7,2.38,2.3,1.86,2.76,0.12,19.833333333333332
123,KNIN.SW,13.0,hold,3.2,239.7,262.85,175.0,350.0,12.57,19.06921241050119
124,KURN.SW,3.0,none,,1.32,20.05,8.0,27.5,,
125,LLQ.SW,,hold,3.0,32.0,,,,1.46,21.91780821917808
126,LAND.SW,7.0,hold,2.7,69.0,65.33,54.11,77.15,2.41,28.63070539419087
127,LMN.SW,1.0,strong_buy,1.0,21.4,30.05,30.05,30.05,2.14,9.999999999999998
128,LECN.SW,1.0,none,,0.599,3.4,3.4,3.4,,
129,LEHN.SW,4.0,buy,2.5,1928.0,2050.0,1950.0,2230.0,67.2,28.69047619047619
130,LEON.SW,2.0,buy,2.0,52.9,67.5,60.0,75.0,5.73,9.232111692844676
131,LLBN.SW,,buy,2.0,60.0,,,,4.51,13.303769401330378
132,LOGN.SW,11.0,buy,2.5,52.36,54.14,16.19,70.13,3.24,16.160493827160494
133,LONN.SW,16.0,buy,1.8,560.2,715.25,325.0,965.0,18.03,31.070438158624516
134,LUKN.SW,,none,,418.0,,,,29.73,14.059872182980154
135,MCHN.SW,1.0,buy,2.0,4.79,6.87,6.87,6.87,0.39,12.282051282051281
136,MOVE.SW,3.0,buy,2.5,104.2,109.82,107.15,112.09,3.53,29.518413597733712
137,MED.SW,2.0,hold,3.0,71.3,126.5,78.0,175.0,0.49,145.51020408163265
138,MEDX.SW,3.0,buy,2.3,17.68,33.0,20.0,45.0,,
139,MTG.SW,1.0,hold,3.0,44.9,39.0,39.0,39.0,2.82,15.921985815602838
140,METN.SW,2.0,buy,2.0,2060.0,2725.0,2600.0,2850.0,117.9,17.472434266327394
141,MBTN.SW,9.0,buy,2.4,0.6625,0.66,0.31,0.96,0.01,66.25
142,MIKN.SW,2.0,buy,2.0,11.35,14.85,13.0,16.7,1.32,8.598484848484848
143,MOZN.SW,3.0,buy,2.0,17.16,18.5,18.0,19.0,1.42,12.084507042253522
144,MOBN.SW,3.0,underperform,3.7,235.5,248.95,215.0,275.0,9.22,25.54229934924078
145,MOLN.SW,7.0,hold,3.2,5.84,13.98,4.0,30.0,3.3,1.7696969696969698
146,AERO.SW,3.0,buy,2.0,16.46,24.32,20.07,32.03,0.25,65.84
147,NBEN.SW,,none,,8.95,,,,,
148,NESN.SW,23.0,buy,2.3,109.62,121.0,95.0,135.0,5.18,21.162162162162165
149,NWRN.SW,2.0,strong_buy,1.5,6.84,4.35,2.57,6.03,-0.06,-114.0
150,NOVN.SW,21.0,hold,2.6,80.73,86.92,68.64,103.94,6.18,13.063106796116505
151,NREN.SW,,none,,40.4,,,,,
152,OBSN.SW,,none,,0.1646,,,,,
153,OERL.SW,7.0,hold,2.6,5.625,7.27,6.6,8.0,0.54,10.416666666666666
154,ONE.SW,,none,,1.66,,,,,
155,ODHN.SW,2.0,buy,2.2,7.7,8.6,7.2,10.0,1.13,6.814159292035399
156,OFN.SW,,none,,80.8,,,,6.06,13.333333333333334
157,ORON.SW,3.0,buy,2.5,72.2,86.33,84.0,90.0,4.61,15.661605206073752
158,PGHN.SW,14.0,buy,2.3,904.6,1196.57,1030.0,1540.0,48.05,18.826222684703435
159,PEAN.SW,8.0,buy,1.9,17.4,36.86,18.0,70.0,-3.11,-5.594855305466238
160,PEP.SW,,none,,161.0,,,,,
161,PRFN.SW,,,,,,,,,
162,PEDU.SW,,none,,84.0,,,,,
163,PMI.SW,,none,,95.0,,,,,
164,PM.SW,2.0,hold,3.3,343.0,372.36,334.0,410.61,38.43,8.925318761384336
165,PMAG.SW,,none,,80.1,,,,,
166,PLAN.SW,,none,,313.0,,,,8.15,38.40490797546012
167,PNHO.SW,,,,,,,,,
168,PPGN.SW,5.0,hold,3.0,25.42,28.17,26.0,32.03,0.99,25.67676767676768
169,PEHN.SW,,none,,76.6,,,,,
170,PSPN.SW,9.0,buy,2.3,109.1,120.44,100.0,128.0,4.92,22.17479674796748
171,RLF.SW,,none,,0.0234,,,,,
172,RIEN.SW,5.0,hold,3.0,105.0,112.75,92.0,140.0,15.46,6.791720569210867
173,ROG.SW,22.0,buy,2.1,281.9,364.36,300.0,429.0,21.03,13.404660009510222
174,RO.SW,1.0,hold,3.0,299.4,355.0,355.0,355.0,21.3,14.056338028169012
175,HREN.SW,2.0,buy,2.0,1170.0,1425.0,1250.0,1600.0,86.92,13.460653474459273
176,RY.SW,,none,,92.0,,,,8.63,10.660486674391656
177,SANN.SW,,buy,2.0,0.821,,,,-0.59,-1.3915254237288135
178,SAHN.SW,,none,,272.0,,,,23.85,11.40461215932914
179,SCHP.SW,16.0,hold,2.7,196.95,197.06,150.0,265.0,7.01,28.095577746077034
180,SCHN.SW,4.0,hold,2.6,189.2,180.25,163.0,192.0,9.23,20.498374864572046
181,STRN.SW,,none,,25.0,,,,,
182,SWTQ.SW,5.0,buy,2.3,787.0,874.4,650.0,1000.0,34.87,22.569544020648124
183,SNBN.SW,,none,,4740.0,,,,,
184,SCR.SW,,none,,20.14,,,,,
185,SENS.SW,4.0,buy,2.5,116.2,111.75,92.0,135.0,3.55,32.732394366197184
186,SFPN.SW,,hold,3.0,92.5,,,,3.64,25.412087912087912
187,SFSN.SW,7.0,buy,2.4,112.2,117.29,75.0,154.0,6.85,16.379562043795623
