,ticker,numberOfAnalystOpinions,recommendationKey,recommendationMean,currentPrice,targetMeanPrice,targetLowPrice,targetHighPrice,forwardEps,PricePerEPS
0,ZURN.SW,17.0,hold,2.6,432.5,478.2,336.45,571.59,39.07,11.069874584079857
1,EVE.SW,2.0,hold,3.0,0.08340000361204147,0.29,0.28,0.29,-0.02,-4.170000180602074
2,MBTN.SW,9.0,buy,2.4,0.6460000276565552,0.62,0.21,0.96,0.01,64.60000276565552
3,ASWN.SW,1.0,buy,2.0,2.240000009536743,7.4,7.4,7.4,,
4,RCK.V,4.0,buy,2.0,3.1700000762939453,6.25,3.0,10.0,,
5,TKA.DE,12.0,hold,2.8,6.978000164031982,8.8,4.0,16.0,0.87,8.020689843714923
6,F3C.DE,5.0,buy,1.6,24.350000381469727,33.2,28.0,35.0,0.32,76.0937511920929
7,VOW3.DE,24.0,buy,2.2,128.60000610351562,186.5,115.0,320.0,29.04,4.428374865823541
8,NOVO-B.CO,27.0,buy,2.4,968.4000244140625,969.44,625.0,1200.0,35.51,27.27119190126901
9,ALJXR.PA,,none,,0.03709999844431877,,,,,
10,LIN,13.0,buy,2.1,332.0400085449219,338.42,280.21,371.29,13.22,25.11649081277775
11,NEL.OL,22.0,hold,3.0,18.1299991607666,14.44,7.0,25.0,-0.42,-43.16666466849191
12,BLDP,23.0,hold,2.9,6.139999866485596,8.24,4.0,19.0,-0.5,-12.279999732971191
13,UUUU,3.0,buy,2.0,7.400000095367432,10.33,8.5,13.0,0.06,123.33333492279053
14,SHOP,40.0,hold,2.6,48.29999923706055,43.99,28.0,81.43,0.06,804.9999872843425
15,ONON,12.0,buy,2.2,21.110000610351562,26.18,16.42,30.85,0.45,46.911112467447914
16,BE,20.0,buy,2.2,24.049999237060547,29.1,21.0,40.0,0.65,36.999998826246994
17,CLNE,10.0,buy,2.0,5.670000076293945,13.05,7.0,27.0,0.0,inf
18,RUN,24.0,buy,2.1,22.959999084472656,43.98,12.74,70.0,-0.03,-765.3333028157552
19,SQ,40.0,buy,2.1,75.2300033569336,90.19,51.0,150.0,1.72,43.738374044728836
20,EQNR,2.0,buy,2.0,33.029998779296875,41.6,36.2,47.0,6.14,5.37947862854998
21,FCEL,8.0,hold,3.3,3.430000066757202,3.22,2.0,4.0,-0.23,-14.913043768509574
22,QS,9.0,hold,3.1,8.210000038146973,12.22,3.0,25.0,-0.86,-9.546511672263922
23,PCELL.ST,3.0,hold,3.0,163.85000610351562,140.0,135.0,150.0,-1.31,-125.07634053703482
24,PLUG,29.0,buy,2.1,15.359999656677246,27.34,13.0,78.0,-0.66,-23.27272675254128
25,SNPS,14.0,buy,1.7,359.1099853515625,416.99,356.9,467.0,11.83,30.355873656091504
26,CWR.L,13.0,buy,1.9,458.8999938964844,915.77,365.0,1560.0,-12.53,-36.62410166771623
